ID;KK;HG;RU
1;ア;あ;а
2;イ;い;и
3;ウ;う;у
4;ェ;え;э
5;オ;お;о
6;カ;か;ка
7;キ;き;ки
8;ク;く;ку
9;ヶ;け;кэ
10;コ;こ;ко
11;サ;さ;са
12;シ;し;щи / си
13;ス;す;су
14;セ;せ;сэ
15;ソ;そ;со
16;ン;ん;н
17;タ;た;та
18;チ;ち;чи / ти
19;ツ;つ;цу
20;テ;て;тэ
21;ト;と;то
22;ナ;な;на
23;二;に;ни
24;ヌ;ぬ;ну
25;ネ;ね;нэ
26;ノ;の;но
27;ハ;は;ха / ва
28;ヒ;ひ;хи
29;フ;ふ;фу
30;ヘ;へ;хэ
31;ホ;ほ;хо
32;マ;ま;ма
33;ミ;み;ми
34;ム;む;му
35;メ;め;мэ
36;モ;も;мо
37;ヤ;や;я
38;ユ;ゆ;ю
39;ヨ;よ;ё
40;ラ;ら;ра
41;リ;り;ри
42;ル;る;ру
43;レ;れ;рэ
44;ロ;ろ;ро
45;ヮ;わ;ва
46;ヲ;を;во
100;ガ;が;га
101;ギ;ぎ;ги
102;グ;ぐ;гу
103;ゲ;げ;гэ
104;ゴ;ご;го
105;ザ;ざ;дза
106;ジ;じ;дзи
107;ズ;ず;дзу
108;ゼ;ぜ;дзэ
109;ゾ;ぞ;дзо
110;ダ;だ;да
111;ヂ;ぢ;дзи
112;ヅ;づ;дзу
113;デ;で;дэ
114;ド;ど;до
115;バ;ば;ба
116;ビ;び;би
117;ブ;ぶ;бу
118;ベ;べ;бэ
119;ボ;ぼ;бо
120;パ;ぱ;па
121;ピ;ぴ;пи
122;プ;ぷ;пу
123;ペ;ぺ;пэ
124;ポ;ぽ;по
150;キャ;きゃ;кя
151;キュ;きゅ;кю
152;キョ;きょ;кё
153;シャ;しゃ;щя / ся
154;シュ;しゅ;щю / сю
155;ショ;しょ;сё
156;チャ;ちゃ;чя / тя
157;チュ;ちゅ;чю / тю
158;チョ;ちょ;чё / тё
159;二ャ;にゃ;ня
160;二ュ;にゅ;ню
161;二ョ;にょ;нё
162;ヒャ;ひゃ;хя
163;ヒュ;ひゅ;хю
1163;ヒョ;ひょ;хё
164;ミャ;みゃ;мя
165;ミュ;みゅ;мю
166;ミョ;みょ;мё
170;ギャ;ぎゃ;гя
171;ギュ;ぎゅ;гю
172;ギョ;ぎょ;гё
173;ジャ;じゃ;дзя
174;ジュ;じゅ;дзю
175;ジョ;じょ;дзё
176;ヂャ;ぢゃ;дя
177;ヂュ;ぢゅ;дю
178;ヂョ;ぢょ;дё
179;ビャ;びゃ;бя
180;ビュ;びゅ;бю
181;ビョ;びょ;бё
182;ピャ;ぴゃ;пя
183;ピュ;ぴゅ;пю
184;ピョ;ぴょ;пё
185;リャ;りゃ;ря
186;リュ;りゅ;рю
187;リョ;りょ;рё
