ID;KK;HG;RU
200;イェ;;е
201;ヴァ;;ва
203;ヴィ;;ви
204;ヴ;;ву
205;ヴェ;;вэ
206;ヴォ;;во
207;ヴャ;;вя
208;ヴュ;;вю
209;ヴョ;;вё
210;シェ;;се
211;ジェ;;дзе
212;チェ;;те
213;スィ;;си
214;ズィ;;зи
215;ティ;;ти
216;トゥ;;ту
217;テャ;;тя
218;テュ;;тю
219;テョ;;тё
220;ディ;;ди
221;ドゥ;;ду
222;デャ;;дя
223;デュ;;дю
224;デョ;;дё
225;ツァ;;ца
226;ツィ;;ци
227;ツェ;;цэ
228;ツォ;;цо
229;ファ;;фа
230;フィ;;фи
231;ホゥ;;ху
232;フェ;;фэ
233;フォ;;фо
234;フャ;;фя
235;フュ;;фю
236;フョ;;фё
237;リェ;;ре
238;ウァ;;ва
239;ウィ;;ви
240;ウェ;;вэ
241;ウォ;;во
242;ウャ;;вя
243;ウュ;;вю
244;ウョ;;вё
245;クァ;;ква
246;クィ;;кви
247;クゥ;;кву
248;クェ;;квэ
249;クォ;;кво
250;グァ;;гва
251;グィ;;гви
252;グゥ;;гву
253;グェ;;гвэ
254;グォ;;гво
