ID;KANJI;ONKUN;RUS
1;不;フ・ブ;не…
2;世;セイ・セ・よ;мир, свет, общество, век, эпоха, жизнь
3;主;シュウ・ぬし・<おも#1>;хозяин, <главный#1>
4;乗;ジョウ・<の(る)#o>・<の(せる)#1 o>;ехать на чем-либо, садиться, <сажать (пассажиров)#1>
5;事;ジ・こと;дело, факт, обстоятельство
6;京;キョウ;столица
7;仕;シ・<つか(える)#o>;служить кому-либо
8;代;ダイ・<か(わる)#o>・<か(える)#1 o>・<だい#2>;замещать, <менять#1>, <эпоха, поколение#2>
9;以;イ・もって;префикс направления, посредством, через
10;伝;デン・<つた(える)#o>・<つた(わる)#2 o>;передавать, <передаваться#2>
11;低;テイ・<ひく(い)#o>;низкий
12;体;タイ・テイ・からだ;тело, организм
13;作;サク・サ・<つく(る)#o>;делать, изготовлять, создавать
14;使;シ・<つか(う)#o>;употреблять, использовать, применять
15;便;<ベン#1>・<ビン#2>・<たよ(り)#3 o>;<удобство,(мед) стул#1>, <почта, доставка#2>, <вести, известия#3>
16;借;シャク・<か(りる)#o>;брать в долг
17;働;ドウ・<はたら(く)#o>;работать
18;元;ゲン・ガン・もと;начало, источник, происхождение
19;兄;ケイ・キョウ・あに;старший брат
20;光;コウ・<ひか(る)#o>・<ひかり#1 o>;сиять, светиться, <свет, сияние#1>
21;全;ゼン・<すべ(て)#o>・<まった(く)#1 o>;полностью, все, <совершенно#1>
22;公;コウ・ク・おおやけ;общественный, публичный, открытый
23;内;ナイ・ダイ・うち;внутри, среди, между
24;写;シャ・<うつ(す)#o>・<うつ(る)#1 o>;копировать, фотографировать, <получаться о фотографии#1>
25;冬;トウ・ふゆ;зима
26;切;セツ・サイ・<き(る)#o>・<き(れる)#1 o>;резать, <быть острым, кончаться, истощаться#1>
27;別;ベツ・<わか(れる)#1 o>・<わ(ける)#2 o>;отдельный, <разделяться, отделяться#1>, <делить#2>
28;利;リ・<き(く)#1 o>;выгода, преимущество, польза, <действовать, оказывать влияние#1>
29;力;リョク・リキ・ちから;сила, мощь
30;勉;ベン・<つと(める)#o>;стараться, ревностно трудиться
31;動;ドウ・<うご(く)#o>・<うご(かす)#1 o>;двигаться, работать, <двигать#1>
32;区;ク;район города
33;医;イ;врач, медицина
34;去;キョ・<さ(る)#o>;уходить, покидать
35;取;シュ・<と(る)#o>;брать
36;受;ジュ・<う(ける)#o>・<う(かる)#1 o>;принимать, получать, <сдавать (экзамен)#1>
37;台;ダイ・タイ;подставка, сцена, счетный суффикс машин
38;合;ゴウ・<あう#1 o>・<あわせる#2 o>;соединяться, <подходить, совпадать#1>, <соединять, совмещать#2>
39;同;ドウ・<おな(じ)#o>;одинаковый, такой же
40;味;ミ・あじ・<あじ(わう)#1 o>;вкус, <смаковать#1>
41;呼;コ・<よ(ぶ)#o>;звать
42;品;ヒン・しな;товар
43;員;イン;сотрудник, член персонала, суффикс профессий
44;問;モン・<と(う)#1 o>;вопрос, <задавать вопрос#1>
45;回;カイ・<まわ(る)#1 o>・<まわ(す)#2 o>;раз, суффикс разов, <вращаться#1>, <вращать, поворачивать#2>
46;困;コン・<こま(る)#o>;трудности, быть в затруднении
47;図;ズ・ト・<はか(る)#1 o>;чертеж, план, карта, <планировать, замышлять#1>
48;園;エン・その;сад, парк
49;地;チ・ジ;земля, почва, местность
50;堂;ドウ;зал
51;場;ジョウ・ば;место (нахождение)
52;声;セイ・ショウ・こえ;голос
53;売;バイ・<う(る)#o>・<う(れる)#1 o>;продавать, <продаваться#1>
