ID;ГРАММАТИКА;ЗНАЧЕНИЕ
1;<本|ほん><じゃない#1>;<не#1> книга
2;<本|ほん><じゃありません#1>;<не#1> книга
3;<本|ほん><ではない#1>;<не#1> книга
4;<本|ほん><ではありません#1>;<не#1> книга
5;<マイクさんの#1><本|ほん>;книга <Майка#1>
6;マイク<さん#1>;<господин#1> Майк
7;<これ#1>は<本|ほん>です;<это#1> книга
8;これ<も#1><本|ほん>です;это <тоже#1> книга
9;これは<本|ほん>です<か#1>;это книга<?#1>
10;はい、そうです;да это так (это книга?)
11;いいえ、そうじゃないです;нет это не так (это книга?)
12;これは<九つ|ここのつ>ですか、<七つ|ななつ>ですか;это 9 или 7?
13;<コンーピューターの#1>ほん;книга о компьютерах
14;DELL<の#1>コンーピュータ;компьютер фирмы DELL
15;そうですか;подтверждения, что восприняли 
16;ここ;здесь(рядом с говорящим)
17;そこ;здесь (рядом с собеседником)
18;あそこ;там (далеко)
19;どこ;где?
20;こちら;сюда, вежливо здесь (рядом с говорящим)
21;そちら;сюда, вежливо здесь (рядом с собеседником)
22;あちら;туда, вежливо там (далеко)
23;どちら;куда, вежливо где?
24;お<手洗い|てあらい>は<どこ#1>ですか;туалет <где#1>?
25;お<手洗い|てあらい>はあそこです;туалет там
26;これ;это (рядом с говорящим)
27;それ;это (рядом с собеседником)
28;あれ;тот (далеко)
29;どれ;который
30;<この#1><本|ほん>;<эта#1> книга (рядом с говорящим)
31;<その#1><本|ほん>;<эта#1> книга (рядом с собеседником)
32;<あの#1><本|ほん>;<та#1> книга (далеко)
33;<どの#1><本|ほん>;<которая#1> книга?
34;<今|いま#1><何|なん#2><時|じ#3>ですか;<сколько#2> <сейчас#1> <времени#3>?
35;<今|いま#1><十|じゅう><時|じ#2><十五|じゅうご><分|ふん#3>です;<сейчас#1> 10 <часов#2> 15 <минут#3>
36;<行|い>き<ます#1>;иду (нейтр-вежливо)
37;<行|い>き<ません#1>;не иду (нейтр-вежливо)
38;<行|い>き<ました#1>;ходил (нейтр-вежливо)
39;<行|い>き<ませんでした#1>;не ходил (нейтр-вежливо)
40;<八|はち><時半|じはん><に#1><起|お>きました;проснулся <в#1> половине девятого
41;<家|うち><から#1><学校|がっこう><まで#2>;<от#1> дома <до#2> школы
42;<土曜日|どようび><と#1><日曜日|にちようび>は<休|やす>みです;суббота <и#1> воскресение - выходной
43;…ね;сочувствие или ожидания согласия
44;<学校|がっこう><へ#1>いく;иду <в#1> школу
45;ロシア<へ#1>来ました;приехал <в#1> Россию
46;<家|うち><へ#1><帰|かえ>りました;вернулся домой
47;<どこへも#1><行|い>か<ない#1>;<никуда не#1> иду
48;<電車|でんしゃ><で#1><行|い>く;еду <на#1> поезде
49;<家族|かぞく><と#1><日本|にほん>へ<行|い>く;еду в Японию <с#1> семьей
50;<一人|ひとり><で#1><来|き>ました;пришел один
51;いつ;когда?
52;…よ;новая информация для собеседника или уверенность
53;<水|みず><を#1><飲|の>む;пью воду
54;<仕事|しごと><を#1>する;делаю работу
55;<何|なに><を#1>する;что делаешь?
56;<駅|えき><で#1><新聞|しんぶん>を<買|か>う;покупаю газеты <на#1> станции
57;<行|い>き<ませんか#1>;пойдете? (приглашение)
58;<行|い>き<ましょう#1>;пошли? (совместное действие)
59;<はしで#1><食|た>べる;ем <палочками#1>
60;<本|ほん>は<英|えい><語で|ごで#1><何|なん>ですか;как будет книга <по-английски#1>?
61;マイクさん<に#1><上げる|あげる#1>;<даю#1> Майку
62;マイクさん<に#1><かしる#1>;<одалживаю#1> Майку
63;マイクさん<に#1><教える|おしえる#1>;<обучаю#1> Майка
64;マイクさん<に#1><もらう#1>;<получаю#1> от Майка
65;マイクさん<に#1><借りる|かりる#1>;<одалживаю#1> у Майка
66;マイクさん<に#1><習う|ならう#1>;<обучаюсь#1> у Майка
67;<もう#1>しました;<уже#1> сделал
68;はい、もうしました;да, сделал
69;いいえ、<まだ#1>です;нет, <еще#1> в процессе
70;いいえ、しませんでした;вообще не делали
71;<本|ほん><がある#1>;<есть#1> книга
72;<静|しず>か<じゃありません#1>;<не#1> тихий
73;<暑|あつ><くない#1>;<не#1> жаркий
74;<静|しず>か<な#1><部屋|へや>;тихая комната
75;<広|ほろ><い#1><部屋|へや>;широкая комната
76;<とても#1><暑|あつ>い;<очень#1> жаркий
77;<あまり#1><暑|あつ><くない#1>;<не очень#1> жаркий
78;モスクワはどうですか;как вам Москва? (субъективно)
79;モスクワは<どんな#1><市|し>ですか;Москва <какой#1> город?
80;<辛|から>いです<が、#1><甘|うま>いです;острый, <но#1> вкусный
81;<日本語|にほんご><が分かる|がわかる#1>;<понимаю#1> японский язык
82;テニス<が上手|がじょうず#1>;<умелый#1> в теннисе
83;テニス<が下手|がへた#1>;<неумелый#1> в теннисе
84;テニス<が好き|がすき#1>;<нравиться#1> теннис
85;テニス<が嫌い|がきらい#1>;<не нравиться#1> теннис
86;<よく#1><分|わ>かる;<хорошо#1> понимаю
87;<だいたい#1><分|わ>かる;<в общем#1> понимаю
88;<少し|すこし#1><分|わ>かる;<немного#1> понимаю
89;<あまり#1><分|わ>から<ない#1>;<не очень#1> понимаю
90;<ぜんぜん><分|わ>から<ない#1>;<совсем не#1> понимаю
91;<本|ほん>が<沢山|たくさん#1>ある;имеется <много#1> книг
92;<本|ほん>が<少し|すこし#1>ある;имеется <немного#1> книг
93;<本|ほん>が<あまり#1><ない#2>;имеется <немного#1> книг
94;<本|ほん>が<ぜんぜん#1><ない#2>;совсем нет книг
95;<少し#1><辛|から>い;<немного#1> острый
96;<ぜんぜん#1><辛|から>く<ない#2>;<совсем#1> <не#2> острый
97;<雨|あめ>が<降|ふ>ってる<から#1>、どこも<行|い>かない;<потому что#1> идет дождь никуда не пойду
98;どうして;по какой причине?
99;<本|ほん><がある#1>;<есть#1> книга
100;<犬|いぬ><がいる#1>;<есть#1> собака
101;<公園|こうえん><に#1><木|き><がある#2>;<в#1> парке <есть#2> дерево
102;<木|き>は<公園|こうえん><にある#1>;дерево <находиться#1> в парке
103;<本|ほん><の上に|のうえに#1>;<над#1> книгой
104;<本|ほん><の下に|のしたに#1>;<под#1> книгой
105;<本|ほん><の前に|のまえに#1>;<перед#1> книгой
106;<本|ほん><の後ろに|のうしろに#1>;<позади#1> книги
107;<本|ほん><の右に|のみぎに#1>;<справа от#1> книги
108;<本|ほん><の左に|のひだりに#1>;<слева от#1> книги
109;<本|ほん><の中に|のなかに#1>;<внутри#1> книги
110;<窓|まど><の外に|のそとに#1>;<за#1> окном
111;<本|ほん><の隣に|のとなりに#1>;<рядом с#1> книгой
112;<本|ほん><の近くに|のちかくに#1>;<поблизости от#1> книги
113;<本|ほん><と#1><窓|まど><の間に|のあいだに#1>;<между#1> книгой <и#1> окном
114;<本|ほん>や<雑誌|ざっし><やなど#1>;книга, журнал <и тому подобное#1>
115;<一週間|いっしゅうかん>に<二回|にかい><映画|えいが>を<見|み>る;смотрю кино два раза в неделю
116;いくつ;сколько?
117;ぐらい;примерно о количестве/времени
118;どのくらい;сколько о продолжительности по времени
119;<本|ほん><だけ#1>;<только#1> книга
120;<一つ|ひとつ>だけ;только один
121;パンだけ;только хлеб
122;リンゴを<四つ|よっつ><買|か>いました;купили 4 яблока
123;<静|しず>かです;тихий
124;<静|しず>か<じゃない#1>です;<не#1> тихий
125;<静|しず>か<でした#1>;<был#1> тихим
126;<静|しず>か<じゃないでした#1>;<был не#1> тихим
127;<暑|あつ>いです;жаркий
128;<暑|あつ><くない#1>です;<не#1> жаркий
129;<暑|あつ><かった#1>です;<был#1> жарким
130;<暑|あつ><くなかった#1>です;<был не#1> жарким
131;<車|くるま>は<本|ほん><より#1>いいです;машина <по сравнению с#1> книгой лучше
