ID;JP;JP_KANA;RU
1;先端;せんたん;кончик, остриё, авангард, ультрасовременный
2;;センチ;сантиметр
3;宣伝;せんでん;пропаганда, реклама
4;先頭;せんとう;главенство, лидерство, передний фронт
5;全般;ぜんぱん;весь, всё
6;扇風機;せんぷうき;электрический фен
7;線路;せんろ;железнодорожная линия, путь
8;相違;そうい;различие, разница, несходство, расхождение, несоответствие
9;雑巾;ぞうきん;тряпка (для уборки)
10;増減;ぞうげん;увеличение и уменьшение, подъём и падение, колебания, неустойчивость
11;倉庫;そうこ;склад, складское помещение
12;相互;そうご;взаимный, обоюдный
13;創作;そうさく;творчество, писательская деятельность, оригинальное произведение
14;葬式;そうしき;похороны, погребение, панихида
15;造船;ぞうせん;судостроение, кораблестроение
16;騒々しい;そうぞうしい;шумный, беспокойный, крикливый, буйный
17;増大;ぞうだい;увеличение, рост, расширение
18;;そうっと;тихо, мягко
19;送別;そうべつ;прощание, проводы
20;草履;ぞうり;дзори (японские сандалии)
21;総理大臣;そうりだいじん;премьер-министр
22;送料;そうりょう;плата за пересылку (перевозку)
23;属する;ぞくする;принадлежать, быть приписанным, быть присущим кому-чему-л.
24;続々;ぞくぞく;один за другим, подряд, без перерыва, непрерывно
25;速達;そくたつ;спешная доставка (почты)
26;測定;そくてい;измерение
27;測量;そくりょう;измерение, топографическая съёмка, промер глубины лотом
28;速力;そくりょく;скорость, быстрота
29;素質;そしつ;натура, характер, склад ума, склонности, мед. конституция, диатез
30;祖先;そせん;предок
31;;そそっかしい;торопливый, опрометчивый, рассеянный
32;卒直;そっちょく;прямой, прямодушный, откровенный, искренний, чистосердечный, открытый
33;具える;そなえる;запасать, устанавливать (оборудование), готовиться, обладать (знаниями)
34;;そのうえ;сверх (кроме) того, к тому же, вдобавок, в придачу
35;;そのころ;в то время, в те же времена, тогда
36;;そのため;из-за этого, по этой причине, поэтому, ради этого, за это
37;;そのほか;кроме того, другие, прочие, остальные, дополнительные
38;蕎麦;そば;соба (гречневая лапша)
39;剃る;そる;брить, бриться
40;;それなのに;несмотря на это, и всё же
41;逸れる;それる;отклоняться (сворачивать) в сторону
42;揃う;そろう;быть полным, собранным, равным, укомплектованным
43;揃える;そろえる;собирать, собирать вместе, упорядочивать, приготавливать
44;算盤;そろばん;японские счёты, расчёты
45;存じる;ぞんじる;знать, быть знакомым, думать, полагать
46;存ずる;ぞんずる;знать, думать, полагать
47;損得;そんとく;прибыли и убытки, выгодность, материальные интересы
48;田んぼ;たんぼ;рисовое поле, ферма
49;第一;だいいち;первый, наилучший, во-первых, прежде всего, первым делом
50;大学院;だいがくいん;аспирантура
51;大工;だいく;плотник
52;体系;たいけい;система, организация
53;太鼓;たいこ;барабан
54;対策;たいさく;ответные мероприятия, контрмеры
55;大して;たいして;с отриц. не очень, не особенно, не серьёзно
56;対照;たいしょう;контраст, противопоставление, сопоставление
57;大小;だいしょう;большой и малый (размеры), размер, величина
58;体制;たいせい;система, структура, организация, строй
59;体積;たいせき;объём, кубатура
60;大層;たいそう;очень, весьма, огромный, многочисленный
61;体操;たいそう;гимнастика, гимнастические упражнения, физкультура
62;大木;たいぼく;высокое (большое) дерево
63;題名;だいめい;заглавие, название
64;代名詞;だいめいし;местоимение, другое имя, прозвище
65;;タイア;шина, покрышка
66;;ダイヤグラム;диаграмма, график, схема
67;;ダイヤモンド;алмаз, бриллиант, карточные бубны
68;;ダイヤル;номеронабиратель, набирать телефонный номер
69;対立;たいりつ;противостояние, оппозиция, конфронтация
70;田植え;たうえ;выращивание риса
71;絶えず;たえず;непрерывно, непрестанно, постоянно
72;楕円;だえん;эллипс, овал
73;高める;たかめる;повышать
74;耕す;たがやす;возделывать, вспахивать
75;滝;たき;водопад
76;炊く;たく;готовить, стряпать, варить (особенно крупы)
77;焚く;たく;разводить огонь, топить печь, жечь топливо
78;蓄える;たくわえる;сберегать, накапливать, копить, откладывать впрок, отращивать (усы)
79;竹;たけ;бамбук
80;助かる;たすかる;спастись, облегчаться (о труде), быть подмогой
81;但し;ただし;только, однако, или же…
82;畳む;たたむ;складывать (одеяло, платья), сгибать, закрывать (фирму), прикончить к-л.
83;立ち止まる;たちどまる;останавливаться, замирать
84;;たちまち;разом, сразу, мгновенно, вдруг
85;建つ;たつ;стоять, быть построенным
86;発つ;たつ;отправляться, выходить, отчаливать
87;脱線;だっせん;сходить с рельсов, отклоняться от темы
88;妥当;だとう;надлежащий, правильный, уместный, закономерный
89;例える;たとえる;уподоблять, говорить иносказательно, сравнивать
90;頼もしい;たのもしい;надежный, заслуживающий доверия, многообещающий
91;足袋;たび;таби (японские носки)
92;;ダブル;двойной
93;騙す;だます;обманывать, надувать, околдовывать, утихомиривать
94;溜まる;たまる;скапливаться, собираться
95;;ダム;дамба, плотина
96;溜息;ためいき;вздох
97;躊躇う;ためらう;колебаться, не решаться, сомневаться
98;溜める;ためる;копить, откладывать, собирать
99;;だらしない;неряшливый, неопрятный, растрёпанный (о волосах), безалаберный
100;足る;たる;быть достаточным, заслуживать, быть довольным
101;段階;だんかい;лестница, ступень, стадия, этап, фаза
102;短期;たんき;короткий (краткий) срок
103;炭鉱;たんこう;угольная шахта
104;短所;たんしょ;дефект, недостаток, слабое место
105;箪笥;たんす;комод, шкаф, шифоньерка
106;淡水;たんすい;пресная вода
107;断水;だんすい;приостановка подачи воды, недостаточное водоснабжение
108;単数;たんすう;единственное число
109;団地;だんち;многоквартирный дом
110;断定;だんてい;заключение, вывод, решение
111;短編;たんぺん;короткая вещь (о рассказе и т.п.), рассказ, новелла
112;誓う;ちかう;клясться, обещать, давать слово
113;地下水;ちかすい;подземные воды, грунтовые воды
114;近々;ちかぢか;скоро, вскоре
115;近付ける;ちかづける;подпускать к себе, сближаться с кем-л
116;近寄る;ちかよる;приближаться, подходить
117;力強い;ちからづよい;сильный, могучий, мощный
118;千切る;ちぎる;рвать в клочки, разрывать, рвать, срывать (цветы, ягоды)
119;地質;ちしつ;геология, геологическая структура, характер почвы
120;知人;ちじん;знакомый
121;地帯;ちたい;район, зона, пояс, полоса
122;縮む;ちぢむ;сжиматься, морщиться, съёживаться, садиться (о ткани)
123;縮める;ちぢめる;сжимать, укорачивать, уменьшать, морщить, мять, отдёргивать
124;縮れる;ちぢれる;виться, завиваться, быть вьющимся, быть волнистым (рифлёным)
125;;チップ;чаевые
