ID;JP;JP_KANA;RU;
1;正;せい;справедливость, правда, правильность
2;生;せい;жизнь, существование
3;性;せい;пол (муж., жен.)
4;所為;せい;вина, причина
5;税;ぜい;налог, пошлина, сбор
6;性格;せいかく;характер (человека), черта характера
7;正確;せいかく;точность, правильность
8;世紀;せいき;век, столетие
9;請求;せいきゅう;требование, запрос, взыскание
10;税金;ぜいきん;налог, пошлина, сбор
11;清潔;せいけつ;чистота
12;制限;せいげん;ограничение, предел, лимит
13;成功;せいこう;успех, достижения
14;生産;せいさん;производство
15;正式;せいしき;формальность, надлежащая форма (официальная)
16;精神;せいしん;душа, намерение, дух
17;成人;せいじん;взрослый
18;精々;せいぜい;насколько возможно
19;成績;せいせき;результаты, успехи, успеваемость, достижения
20;製造;せいぞう;производство, изготовление
21;贅沢;ぜいたく;роскошь, богатство, расточительность
22;成長;せいちょう;рост, развитие
23;制度;せいど;система, строй, режим, порядок
24;青年;せいねん;юноша, молодой человек, молодежь
25;製品;せいひん;готовая продукция, товар
26;政府;せいふ;правительство
27;生物;せいぶつ;живое существо, организм
28;生物;なまもの;сырая пища
29;生命;せいめい;жизнь
30;整理;せいり;упорядочивание, реорганизация, ликвидация, реализация, сокращение
31;咳;せき;кашель
32;石炭;せきたん;каменный уголь
33;責任;せきにん;ответственность, долг
34;石油;せきゆ;нефть, керосин
35;世間;せけん;общество, свет, люди, публика
36;説;せつ;теория, доктрина, мнение, версия
37;積極的;せっきょくてき;положительный, позитивный, активный
38;設計;せっけい;проектирование, проект, план
39;絶対;ぜったい;абсолютный, категорический, безусловный
40;;セット;комплект, набор, гарнитур, укладка (волос)
41;設備;せつび;оборудование, устройство, приспособление
42;絶滅;ぜつめつ;уничтожение, истребление
43;節約;せつやく;экономия, сокращение
44;責める;せめる;упрекать, призывать к ответу
45;善;ぜん;добро
46;全員;ぜんいん;все участники, весь штат, весь личный состав
47;専攻;せんこう;специализация
48;全国;ぜんこく;вся страна
49;先日;せんじつ;недавно, на днях
50;前者;ぜんしゃ;первый (из двух упомянутых)
51;選手;せんしゅ;спортсмен, игрок, член команды
52;前進;ぜんしん;продвижение, прогресс
53;;センター;центр
54;全体;ぜんたい;целое, всё
55;選択;せんたく;выбор
56;象;ぞう;слон
57;騒音;そうおん;шум
58;増加;ぞうか;увеличение, прибавление, рост
59;操作;そうさ;управление, обслуживание (напр. станка), манипулирование
60;想像;そうぞう;воображение, представление, предположение
61;相続;そうぞく;наследование
62;装置;そうち;оборудование, установка (действие), аппаратура
63;相当;そうとう;соответствовать, соответствующий, подходящий
64;速度;そくど;скорость
65;底;そこ;дно, днище, низкий курс
66;組織;そしき;организация, формирование, структура, строение, система, ткань (биол.)
67;注ぐ;そそぐ;лить, поливать, впадать (о реке), сосредотачивать усилия, уделять внимание
68;育つ;そだつ;расти, воспитываться
69;;そっくり;все целиком, полностью, быть точной копией, нетронутый
70;;そっと;легонько, тайком, украдкой, как есть
71;袖;そで;рукав
72;備える;そなえる;запасать, оборудовать, готовиться, обладать (напр., знаниями)
73;;そのうち;скоро, со временем, тем временем, среди чего-то
74;;そのまま;как есть, в том же виде
75;側;そば;сторона, рядом, поблизости
76;;ソファー;диван
77;粗末;そまつ;простой, грубый, бедный, бесцеремонный, невежливый
78;;それぞれ;каждый в отдельности, каждый по-своему
79;;それでも;тем не менее, всё же, всё-таки, несмотря на это
80;;それとも;или
81;損;そん;убыток, потери, ущерб
82;損害;そんがい;ущерб, повреждения, убытки
83;尊敬;そんけい;уважение, почтение
84;存在;そんざい;существование, наличие, бытие, существо, личность
85;尊重;そんちょう;уважение, соблюдение, считаться с чем-либо
86;他;た;другие, остальные
87;対;たい;противоположность, контраст
88;台;だい;подставка , стойка, стеллаж, опора, рама, сч. суф. для автомашин, станков
89;題;だい;заглавие, заголовок, тема, вопрос
90;体育;たいいく;физическое воспитание, физкультура
91;体温;たいおん;температура тела
92;大会;たいかい;съезд, конгресс, конференция, турнир
93;大気;たいき;атмосфера, воздух
94;代金;だいきん;плата, цена
95;退屈;たいくつ;скука
96;滞在;たいざい;пребывание (напр., в гостинице)
97;大使;たいし;посол
98;大した;たいした;большой, значительный, серьёзный, важный
99;対象;たいしょう;объект, предмет (напр., исследования)
100;大臣;だいじん;министр
101;対する;たいする;быть обращенным (на что-либо) , быть направленным против, по отношению к
102;大戦;たいせん;мировая война
103;大抵;たいてい;обычно, как правило, большей частью
104;態度;たいど;отношение, позиция, поведение
