ID;JP;JP_KANA;RU;
1;（~て）仕舞う;（て）しまう;полностью… (видовая форма);
2;（~に）就いて;（に）ついて;о, об;
3;（~に）拠ると;（に）よると;согласно… по словам…;
4;あ;あ;ах!;
5;ああ;ああ;так, таким образом;
6;挨拶（する）;あいさつ;приветствие, обращение;
7;間;あいだ;промежуток, интервал;
8;合う;あう;соответствовать, совпадать, быть правильным;
9;赤ちゃん;あかちゃん;младенец;
10;上がる;あがる;подниматься, взбираться, всходить, кушать;
11;赤ん坊;あかんぼう;младенец;
12;空く;あく;открываться, раскрываться, освобождаться, быть свободным;
13;上げる・挙げる;あげる;поднимать, повышать;
14;朝寝坊;あさねぼう;соня;
15;味;あじ;вкус;
16;明日;あす;завтра;
17;遊び;あそび;игра;
18;集まる;あつまる;собираться, встречаться, накапливаться;
19;集める;あつめる;собирать, созывать, коллекционировать, накапливать;
20;謝る;あやまる;извиняться;
21;;アルコール;спирт, алкоголь;
22;;アルバイト;подработка;
23;安心（する）;あんしん（する）;спокойствие;
24;安全;あんぜん;безопасность;
25;;あんな;такой, такая;
26;案内（する）;あんない（する）;гид, быть проводником, показывать дорогу;
27;以下;いか;нижеследующий…, меньше…, менее;
28;以外;いがい;кроме;
29;如何;いかが;как насчет…?;
30;医学;いがく;медицина (наука);
31;生きる;いきる;жить, быть живым;
32;;いくら~ても;сколько бы ни…;
33;意見;いけん;мнение, взгляд;
34;石;いし;камень;
35;苛める;いじめる;мучать, дразнить;
36;以上;いじょう;свыше, более, сверх-, вышеуказанное;
37;急ぐ;いそぐ;спешить;
38;致す;いたす;делать;
39;頂く;いただく;получать, брать, принимать, есть, пить (скромно о себе);
40;一度;いちど;(один) раз;
41;;いって(い)らっしゃい;счастливого пути!;
42;一生懸命;いっしょうけんめい;изо всех сил;
43;行って参ります;いってまいります;до свидания (я вернусь);
44;一杯;いっぱい;полный, один стакан, выпивка;
45;一般（に）;いっぱん;общий, обычный, в общем;
46;糸;いと;нить;
47;以内;いない;в пределах, в течение, не свыше;
48;田舎;いなか;деревня, сельская местность;
49;祈る;いのる;молиться, желать (к-л ч-л);
50;;いらっしゃる;идти, приходить, находиться (вежл.);
51;~員;いん;член (комитета и др.);
52;植える;うえる;сажать (растения), выращивать;
53;伺う;うかがう;посещать, навещать, спрашивать, осведомляться;
54;受付;うけつけ;приём, справочное бюро, регистратура;
55;受ける;うける;получать, принимать;
56;動く;うごく;двигаться, работать (о механизме);
57;嘘;うそ;неправда, ложь;
58;内;うち;между, в течение, внутри;
59;打つ;うつ;бить, ударять;
60;美しい;うつくしい;красивый;
61;写す;うつす;снимать копию, фотографировать;
62;移る;うつる;переходить, переезжать, быть заразным;
63;映る;うつる;отражаться (в зеркале);
64;腕;うで;рука (от плеча до запястья);
65;甘い・美味い・旨い・上手い・巧い;うまい;вкусный, умелый, ловкий;
66;裏;うら;оборотная сторона, изнанка, задняя сторона, подкладка;
67;売り場;うりば;касса, место продажи;
68;煩い・五月蝿い;うるさい;шумный, надоедливый, нудный, придирчивый;
69;嬉しい;うれしい;счастливый, радостный;
70;;うん;угу, да;
71;運転（する）;うんてん（する）;вождение (машины);
72;運転手;うんてんしゅ;водитель;
73;運動（する）;うんどう（する）;движение, физическое упражнение;
74;;エスカレーター;эскалатор;
75;枝;えだ;ветка;
76;選ぶ;えらぶ;выбирать;
77;遠慮（する）;えんりょ（する）;стеснительность, сдержанность, воздержание;
78;お出でになる;おいでになる;идти, приходить, находиться (вежл.);
79;お祝い;おいわい;праздник, поздравление;
80;応接間;おうせつま;приемная комната;
81;多い;おおい;многочисленный, обильный, частый;
82;大きな;おおきな;большой;
83;;オートバイ;мотоцикл;
84;;オーバー;пальто, преувеличение;
85;御帰りなさい;おかえりなさい;с возвращением!;
86;お蔭;おかげ;Вашими молитвами;
87;お蔭様で;おかげさまで;слава богу, Вашими молитвами;
88;可笑しい;おかしい;смешной, забавный, неуместный;
89;~置き(に+V);おきに+V;повторять V через…, с промежутками в…;
90;億;おく;сто миллионов;
91;屋上;おくじょう;на крыше;
92;贈り物;おくりもの;подарок;
93;遅れる;おくれる;опаздывать;
94;お子さん;おこさん;Ваш ребенок;
95;起こす;おこす;будить, вызывать (чувства), возрождать;
96;行(な)う;おこなう;проводить, осуществлять, вести себя;
97;怒る;おこる;сердиться;
98;押(し)入れ;おしいれ;стенной шкаф;
99;お嬢さん;おじょうさん;Ваша дочь, девушка;
100;御大事に;おだいじに;Берегите себя!;
101;お宅;おたく;Ваш дом;
102;落ちる;おちる;падать, терпеть поражение, заходить (о солнце);
103;仰る・仰っしゃる;おっしゃる;говорить (вежл. о собеседнике);
104;音;おん・おと;звук;
105;落とす;おとす;ронять, понижать, уменьшать, упускать;
106;踊り;おどり;танец;
107;踊る;おどる;танцевать;
108;驚く;おどろく;удивляться, пугаться;
109;叔母;おば;тетя;
110;お待たせしました;おまたせしました;извините, что заставил Вас ждать;
111;御祭り;おまつり;праздник;
112;御見舞い;おみまい;посещение больного, справлять о здоровье;
113;御土産;おみやげ;сувенир, подарок;
114;お目出度う(御座居ます);おめでとう(ございます);Поздравляю!;
115;思い出す;おもいだす;вспоминать;
116;思う;おもう;думать, считать, полагать, хотеть, собираться, заботиться;
117;玩具;おもちゃ;игрушка;
118;表;おもて;лицевая сторона, внешность, наружность, фасад;
119;;おや;ой, ах, как, вот те на!;
120;下りる;おりる;спускаться, сходить вниз;
121;居る;おる;быть (скромно о себе);
122;御礼;おれい;поклон, вежливость, благодарность;
123;折れる;おれる;ломаться, быть сломанным, поворачивать;
124;終わり;おわり;конец;
125;~家;か;суффикс профессии;
