#name=Русско-корейский словарь
#description=Самоучитель корейского языка
kr;tr;ru
가게;каге;магазин
가격;кагёк;цена
가구;кагу;мебель
가까운;каккаун;близкий
가다;када;ехать
가다;када;идти
가르치다;карычхида;учить (кого-либо)
가방;кабан;портфель
가방;кабан;сумка
가벼운;кабёун;легкий (не тяжелый)
가스;касы;газ
가슴;касым;грудь
가위;кави;ножницы
가을;каыль;осень
가족;каджок;семья
가지고 가다;каджиго када;брать
가지다;каджида;иметь
간단한;канданхада;простой
갈색;кальсэк;коричневый
감사합니다;камсахамнида;спасибо
감자;камджа;картофель
값;кап;цена
강;кан;река
강가;канга;берег реки
같은;катхын;подобный
개;кэ;собака
개미;кэми;муравей
거기에;когие;там
거리;кори;расстояние
거리;кори;улица
거실;косиль;гостиная
거울;коуль;зеркало
거의;кои;почти
건물;конмуль;здание
건축하다;кончхукхада;строить
걸어가다;корогада;идти пешком
걸어가다;корогада;пешком идти
검토하다;комтхохада;проверять
겨울;кёуль;зима
견학;кёнхак;экскурсия
결과;кёльгва;результат
결정하다;кёльчонхада;решать
결혼;кёрхон;брак
경찰;кёнчхаль;полиция
경찰관;кёнчхальгван;полицейский
계단;кедан;лестница
계산;кесан;счет
계산하다;кесанхада;подсчитывать
계산하다;кесанхада;считать
계속하다;кесокхада;продолжать
계획;кехвек;план
고기;коги;мясо
고대;кодэ;древний
고양이;коянъи;кошка
고요한;коёхан;тихий (не громкий)
곳;кот;место
공;кон;мяч
공업;конъоп;промышленность
공원;конвон;парк
공장;конджан;завод
공항;конхан;аэропорт
과일;кваиль;фрукты
과자;кваджа;печенье
관람회;квалламхве;выставка
관심;квансим;интерес
광장;кванджан;площадь (в городе)
교과서;кёгвасо;учебник
교류;кёрю;обмен
교육;кёюк;образование
교회;кёхве;церковь
구두;куду;обувь
구매자;кумэджа;покупатель
구멍;кумон;яма
구월;куволь;август
구월;куволь;сентябрь
국제;кукче;международный
귀;кви;ухо
귤;кюль;мандарин
그래도;кырэдо;однако
그런;кырон;такой
그리;кыри;туда
그리고;кыриго;и
그리다;кырида;рисовать
그림;кырим;картина
그만하다;кыманхада;прекратить
그저께;кыджокке;позавчера
극장;кыкчан;театр
극한;кыкхан;предел
금료;кымнё;заработок
금속;кымсок;металл
금액;кымэк;сумма (денег)
금요일;кымёиль;пятница
기념일;кинёмиль;праздник
기념품;кинёмпхум;сувенир
기다리다;кидарида;ждать
기뻐하다;киппохада;радоваться
기쁜;киппын;радостный
기사;киса;инженер
기억나다;кионнада;вспоминать
기억하다;киокхада;помнить
기온;кион;температура (воздуха)
긴;кин;длинный
길;киль;дорога
길;киль;путь
깁다;кипта;шить
깊은;кипхын;глубокий
까만;ккаман;черный
깨끗한;ккэккытхада;чистый
깨다;ккэда;ломать
꽃;ккот;цветок
꿀;ккуль;мед
끓이다;ккырида;варить
끝;ккыт;конец
끝나다;ккыннада;заканчивать
나가다;нагада;выходить
나누다;нануда;делить
나라;нара;страна
나무;наму;дерево
나쁜;наппын;плохой
나타나다;натханада;родиться
날;наль;день
날다;нальда;летать
날씨;нальсси;погода
날짜;нальчча;дата
낡은;нальгын;старый
남자 아이;намджа аи;мальчик
남자;намджа;мужчина
남쪽;намччок;юг
낮은;наджин;низкий
내용;нэён;содержание (книги и т. д.)
내일;нэиль;завтра
냄새가 나다;нэмсэга нада;пахнуть
냄새를 맡다;нэмсэрыль матта;нюхать
냅킨;нэпкхин;салфетка
냉장고;нэнджанго;холодильник
너무;ному;слишком
넓은;нольбын;широкий
네트;нетхы;сетка
넥타이;нектхаи;галстук
년;нён;год
노란색;норансэк;желтый
노래;норэ;песня
노래를 부르다;норэрыль пурыда;петь
노트;нотхы;тетрадь
녹색;ноксэк;зеленый
녹음기;ногымги;магнитофон
